dataset\dirty\0042.jpg,dirty,0
dataset\dirty\0043.jpg,dirty,0
dataset\dirty\0044.jpg,dirty,0
dataset\dirty\0045.jpg,dirty,0
dataset\dirty\0046.jpg,dirty,0
dataset\dirty\0047.jpg,dirty,0
dataset\dirty\0048.jpg,dirty,0
dataset\dirty\0049.jpg,dirty,0
dataset\dirty\0050.jpg,dirty,0
dataset\dirty\0051.jpg,dirty,0
dataset\dirty\0052.jpg,dirty,0
dataset\dirty\0053.jpg,dirty,0
dataset\dirty\0054.jpg,dirty,0
dataset\dirty\0055.jpg,dirty,0
dataset\dirty\0056.jpg,dirty,0
dataset\dirty\0057.jpg,dirty,0
dataset\dirty\0058.jpg,dirty,0
dataset\dirty\0059.jpg,dirty,0
dataset\dirty\0060.jpg,dirty,0
dataset\dirty\0061.jpg,dirty,0
dataset\dirty\0062.jpg,dirty,0
dataset\dirty\0063.jpg,dirty,0
dataset\dirty\0064.jpg,dirty,0
dataset\dirty\0065.jpg,dirty,0
dataset\dirty\0066.jpg,dirty,0
dataset\dirty\0067.jpg,dirty,0
dataset\dirty\0068.jpg,dirty,0
dataset\dirty\0069.jpg,dirty,0
dataset\dirty\0070.jpg,dirty,0
dataset\dirty\0071.jpg,dirty,0
dataset\dirty\0072.jpg,dirty,0
dataset\dirty\0073.jpg,dirty,0
dataset\dirty\0074.jpg,dirty,0
dataset\dirty\0075.jpg,dirty,0
dataset\dirty\0076.jpg,dirty,0
dataset\dirty\0077.jpg,dirty,0
dataset\dirty\0078.jpg,dirty,0
dataset\dirty\0079.jpg,dirty,0
dataset\dirty\0080.jpg,dirty,0
dataset\dirty\0081.jpg,dirty,0
dataset\dirty\0082.jpg,dirty,0
dataset\dirty\0083.jpg,dirty,0
dataset\dirty\0084.jpg,dirty,0
dataset\dirty\0085.jpg,dirty,0
dataset\dirty\0086.jpg,dirty,0
dataset\dirty\0087.jpg,dirty,0
dataset\dirty\0088.jpg,dirty,0
dataset\dirty\0089.jpg,dirty,0
dataset\dirty\0122.jpg,dirty,0
dataset\dirty\0123.jpg,dirty,0
dataset\dirty\0124.jpg,dirty,0
dataset\dirty\0125.jpg,dirty,0
dataset\dirty\0126.jpg,dirty,0
dataset\dirty\0127.jpg,dirty,0
dataset\dirty\0128.jpg,dirty,0
dataset\dirty\0129.jpg,dirty,0
dataset\dirty\0130.jpg,dirty,0
dataset\dirty\0132.jpg,dirty,0
dataset\dirty\0133.jpg,dirty,0
dataset\dirty\0134.jpg,dirty,0
dataset\dirty\0135.jpg,dirty,0
dataset\dirty\0136.jpg,dirty,0
dataset\dirty\0152.jpg,dirty,0
dataset\dirty\0153.jpg,dirty,0
dataset\dirty\0154.jpg,dirty,0
dataset\dirty\0155.jpg,dirty,0
dataset\dirty\0156.jpg,dirty,0
dataset\dirty\0157.jpg,dirty,0
dataset\dirty\0158.jpg,dirty,0
dataset\dirty\0159.jpg,dirty,0
dataset\dirty\0160.jpg,dirty,0
dataset\dirty\0161.jpg,dirty,0
dataset\dirty\0162.jpg,dirty,0
dataset\dirty\0163.jpg,dirty,0
dataset\dirty\0164.jpg,dirty,0
dataset\dirty\0165.jpg,dirty,0
dataset\dirty\0168.jpg,dirty,0
dataset\dirty\0169.jpg,dirty,0
dataset\dirty\0170.jpg,dirty,0
dataset\dirty\0171.jpg,dirty,0
dataset\dirty\0174.jpg,dirty,0
dataset\dirty\0175.jpg,dirty,0
dataset\dirty\0176.jpg,dirty,0
dataset\dirty\0177.jpg,dirty,0
dataset\dirty\0448.jpg,dirty,0
dataset\dirty\0449.jpg,dirty,0
dataset\dirty\0450.jpg,dirty,0
dataset\dirty\0451.jpg,dirty,0
dataset\dirty\0452.jpg,dirty,0
dataset\dirty\0453.jpg,dirty,0
dataset\dirty\0466.jpg,dirty,0
dataset\dirty\0467.jpg,dirty,0
dataset\dirty\0468.jpg,dirty,0
dataset\dirty\0469.jpg,dirty,0
dataset\dirty\0470.jpg,dirty,0
